org_be_kod;org_be_rank;org_be_fullname_eng;org_be_shortname_eng;org_be_fullname_rus;org_be_shortname_rus;org_plansp_kod
0101;01;Zapolyarny Filial;ZF;Заполярный филиал;ЗФ;100U
0210;02;KGMK;KGMK;КГМК;КГМК;0210
